Code,Area,Year,Measure,Value mar,Value Jun,Value Sep,Value Dec,Housing_Average
E02000087,Bexley 023,2017,Mean,470079,473494,486713,493468,480938.5
E02000088,Bexley 024,2017,Mean,414073,410795,420189,435846,420225.75
E02000089,Bexley 025,2017,Mean,442072,445389,466644,473603,456927
E02000090,Bexley 026,2017,Mean,363974,366863,363510,377481,367957
E02000091,Bexley 027,2017,Mean,387480,387892,354611,343505,368372
E02000092,Bexley 028,2017,Mean,319188,314297,314875,326594,318738.5
E02006785,Bexley 029,2017,Mean,353745,363870,345226,350016,353214.25
E02000093,Brent 001,2017,Mean,469852,473175,468416,479426,472717.25
E02000094,Brent 002,2017,Mean,341685,348418,359727,429212,369760.5
E02000095,Brent 003,2017,Mean,484119,473045,487021,486435,482655
E02000096,Brent 004,2017,Mean,583786,591526,630491,638474,611069.25
E02000097,Brent 005,2017,Mean,445803,447694,447256,465984,451684.25
E02000098,Brent 006,2017,Mean,514803,543564,561779,564497,546160.75
E02000099,Brent 007,2017,Mean,413518,405029,433262,449782,425397.75
E02000100,Brent 008,2017,Mean,634748,631468,680289,764053,677639.5
E02000101,Brent 009,2017,Mean,444720,462519,463733,480145,462779.25
E02000102,Brent 010,2017,Mean,333453,336169,367906,375026,353138.5
E02000103,Brent 011,2017,Mean,464903,477852,475907,434676,463334.5
E02000104,Brent 012,2017,Mean,452153,473853,472591,429814,457102.75
E02000105,Brent 013,2017,Mean,334238,324127,358618,352410,342348.25
E02000106,Brent 014,2017,Mean,397243,452862,506592,544457,475288.5
E02000107,Brent 015,2017,Mean,743912,723455,670089,682901,705089.25
E02000108,Brent 016,2017,Mean,358048,390024,394043,420833,390737
E02000109,Brent 017,2017,Mean,391846,428655,435844,449342,426421.75
E02000110,Brent 018,2017,Mean,734143,745920,788160,795662,765971.25
E02000111,Brent 019,2017,Mean,383100,399467,401618,419985,401042.5
E02000112,Brent 020,2017,Mean,377761,390126,401233,391458,390144.5
E02000113,Brent 021,2017,Mean,296857,309556,308900,319721,308758.5
E02000114,Brent 022,2017,Mean,580344,550977,529454,536973,549437
E02000115,Brent 023,2017,Mean,718362,686517,609375,669545,670949.75
E02000116,Brent 024,2017,Mean,431016,454856,440810,460355,446759.25
E02000117,Brent 025,2017,Mean,417325,418741,406308,403951,411581.25
E02000118,Brent 026,2017,Mean,382314,375479,371218,384748,378439.75
E02000119,Brent 027,2017,Mean,421300,443097,442333,439687,436604.25
E02000120,Brent 028,2017,Mean,720292,710022,680513,711733,705640
E02000121,Brent 029,2017,Mean,383305,366746,354882,364075,367252
E02000122,Brent 030,2017,Mean,1125080,1286373,1386075,1294546,1273018.5
E02000123,Brent 031,2017,Mean,537915,541767,554212,554305,547049.75
E02000124,Brent 032,2017,Mean,898443,965867,1032068,1176348,1018181.5
E02000125,Brent 033,2017,Mean,810637,869134,893238,902411,868855
E02000126,Brent 034,2017,Mean,624286,636977,638056,640842,635040.25
E02000127,Bromley 001,2017,Mean,380725,383608,378886,372541,378940
E02000128,Bromley 002,2017,Mean,479121,483606,499271,499374,490343
E02000130,Bromley 004,2017,Mean,540982,529624,524623,535944,532793.25
E02000131,Bromley 005,2017,Mean,398613,401886,404024,404974,402374.25
E02000132,Bromley 006,2017,Mean,430949,430153,457919,461244,445066.25
E02000133,Bromley 007,2017,Mean,697210,709693,729102,754109,722528.5
E02000134,Bromley 008,2017,Mean,417062,424802,416624,406115,416150.75
E02000135,Bromley 009,2017,Mean,333544,352957,375906,366964,357342.75
E02000136,Bromley 010,2017,Mean,514022,603108,620147,608673,586487.5
E02000137,Bromley 011,2017,Mean,466527,472616,487487,500389,481754.75
E02000138,Bromley 012,2017,Mean,522294,527359,529423,513839,523228.75
E02000139,Bromley 013,2017,Mean,492534,495155,491853,487963,491876.25
E02000140,Bromley 014,2017,Mean,336043,338871,330806,319740,331365
E02000141,Bromley 015,2017,Mean,402705,422072,411077,412536,412097.5
E02000142,Bromley 016,2017,Mean,510414,546815,580385,629090,566676
E02000144,Bromley 018,2017,Mean,437248,437265,455312,476106,451482.75
E02000145,Bromley 019,2017,Mean,274315,281456,291697,296866,286083.5
E02000146,Bromley 020,2017,Mean,403035,394010,411756,427214,409003.75
E02000147,Bromley 021,2017,Mean,698100,731555,752214,750944,733203.25
E02000148,Bromley 022,2017,Mean,660643,710218,701576,700532,693242.25
E02000149,Bromley 023,2017,Mean,371879,376891,364584,386105,374864.75
E02000150,Bromley 024,2017,Mean,564096,565460,576892,584400,572712
E02000151,Bromley 025,2017,Mean,602829,608472,618221,620219,612435.25
E02000152,Bromley 026,2017,Mean,410433,404557,424465,418441,414474
E02000153,Bromley 027,2017,Mean,579777,576242,577289,565661,574742.25
E02000154,Bromley 028,2017,Mean,403481,386679,403441,421566,403791.75
E02000155,Bromley 029,2017,Mean,380052,378467,370609,367217,374086.25
E02000156,Bromley 030,2017,Mean,503520,502982,506508,553275,516571.25
E02000157,Bromley 031,2017,Mean,535879,527225,540644,555401,539787.25
E02000158,Bromley 032,2017,Mean,458413,465334,466019,475633,466349.75
E02000159,Bromley 033,2017,Mean,846780,924466,886065,876194,883376.25
E02000160,Bromley 034,2017,Mean,635072,617348,590261,561542,601055.75
E02000161,Bromley 035,2017,Mean,459466,457321,461326,479121,464308.5
E02000162,Bromley 036,2017,Mean,443151,454701,446556,445784,447548
E02000163,Bromley 037,2017,Mean,568728,556936,591825,618879,584092
E02000165,Bromley 039,2017,Mean,357692,359168,378567,372818,367061.25
E02006782,Bromley 040,2017,Mean,538486,538406,506809,510426,523531.75
E02006787,Bromley 041,2017,Mean,488613,523716,551604,556306,530059.75
E02006789,Bromley 042,2017,Mean,509085,480377,483288,505776,494631.5
E02000166,Camden 001,2017,Mean,1096195,1303760,1360173,1297421,1264387.25
E02000167,Camden 002,2017,Mean,1938983,2099554,2104867,1783799,1981800.75
E02000168,Camden 003,2017,Mean,920396,910532,963864,1028588,955845
E02000169,Camden 004,2017,Mean,2020563,2147108,2336103,2469451,2243306.25
E02000170,Camden 005,2017,Mean,880817,927312,875884,858016,885507.25
E02000171,Camden 006,2017,Mean,1036212,1106049,1119217,1006711,1067047.25
E02000172,Camden 007,2017,Mean,639321,692601,710377,706419,687179.5
E02000173,Camden 008,2017,Mean,2102926,2141157,1984993,1866335,2023852.75
E02000174,Camden 009,2017,Mean,636252,643061,673286,720145,668186
E02000175,Camden 010,2017,Mean,783817,812783,799425,751308,786833.25
