MSOA11CD,MSOA11NM,CC_Counts,Num_Counts,CC_Average
E02000980,Westminster 021,0.61811029,84,0.007358456
E02000981,Westminster 022,0.70347855,97,0.007252356
E02000982,Westminster 023,0.768972238,105,0.007323545
E02000983,Westminster 024,0.450158287,61,0.007379644
E02006782,Bromley 040,0.93817352,134,0.007001295
E02006783,Lewisham 037,0.607061646,83,0.007313996
E02006784,Lewisham 038,0.903597804,128,0.007059358
E02006785,Bexley 029,0.901061111,132,0.006826221
E02006786,Greenwich 033,0.580315521,91,0.006377094
E02006787,Bromley 041,0.789083883,120,0.006575699
E02006788,Croydon 045,0.622938607,101,0.006167709
E02006789,Bromley 042,0.879566141,153,0.005748798
E02006791,Ealing 040,0.729814132,104,0.007017444
E02006792,Hounslow 029,1.181112132,164,0.007201903
E02006793,Enfield 037,1.127921442,132,0.008544859
E02006794,Haringey 037,0.954873342,119,0.008024146
E02006795,Harrow 032,0.370032278,60,0.006167205
E02006796,Hillingdon 033,1.603917343,237,0.006767584
E02006798,Lewisham 039,1.527973664,211,0.007241581
E02006799,Barking and Dagenham 023,1.083489228,153,0.007081629
E02006800,Redbridge 034,1.153021635,163,0.007073752
E02006801,Lambeth 036,1.305846637,174,0.007504866
E02006802,Southwark 034,1.087400715,146,0.00744795
E02006836,Sutton 025,0.913222861,178,0.005130466
E02006853,Tower Hamlets 032,0.21055098,28,0.007519678
E02006854,Tower Hamlets 033,0.84175208,104,0.00809377
E02006882,Harrow 033,0.695219461,116,0.005993271
E02006918,Hackney 028,0.514567289,70,0.007350961
E02006921,Hackney 029,0.36517256,50,0.007303451
E02006924,Redbridge 035,1.251117943,149,0.008396765
E02006925,Redbridge 036,1.301076205,153,0.008503766
E02006927,Greenwich 034,1.990502433,251,0.007930289
E02006928,Greenwich 035,0.975602294,133,0.007335356
E02006929,Greenwich 036,2.165477084,271,0.00799069
E02006930,Greenwich 037,1.483792024,186,0.007977376
E02006931,Greenwich 038,1.639142883,217,0.007553654
