MSOA11CD,MSOA11NM,WD20CD,WD20NM,inlondon,ward_area_hectare,green_area_hectare,blue_area_hectare,green+blue_area_hectare,percent_green,percent_blue,percent_green+blue
E02000040,Barnet 017,E05000057,Mill Hill,TRUE,938.921,642.4024302,3.013118324,645.4155485,68.41922059,0.32091287,68.74013346
E02000135,Bromley 009,E05000123,Penge and Cator,TRUE,295.972,128.8800076,0.970293566,129.8503012,43.5446622,0.327832892,43.87249509
E02000110,Brent 018,E05000089,Dudden Hill,TRUE,168.144,55.36570827,0.022895428,55.38860369,32.92755511,0.01361656,32.94117167
E02000003,Barking and Dagenham 002,E05000029,Chadwell Heath,TRUE,338.422,209.863939,4.323137034,214.187076,62.01249888,1.277439716,63.2899386
E02000028,Barnet 005,E05000058,Oakleigh,TRUE,331.861,163.5559593,1.143589794,164.6995491,49.28447733,0.344599032,49.62907637
E02000130,Bromley 004,E05000123,Penge and Cator,TRUE,295.972,128.8800076,0.970293566,129.8503012,43.5446622,0.327832892,43.87249509
E02000094,Brent 002,E05000090,Fryent,TRUE,265.938,152.9148891,0.07179534,152.9866845,57.50020273,0.026997022,57.52719976
E02000004,Barking and Dagenham 003,E05000030,Eastbrook,TRUE,345.06,192.4429004,17.43223969,209.8751401,55.77085155,5.0519445,60.82279605
E02000034,Barnet 011,E05000058,Oakleigh,TRUE,331.861,163.5559593,1.143589794,164.6995491,49.28447733,0.344599032,49.62907637
E02000154,Bromley 028,E05000124,Petts Wood and Knoll,TRUE,430.127,223.0072445,0.649752494,223.656997,51.84683699,0.151060616,51.99789761
E02000123,Brent 031,E05000091,Harlesden,TRUE,111.37,31.22889122,0.002190125,31.23108134,28.04066734,0.00196653,28.04263387
E02000011,Barking and Dagenham 010,E05000030,Eastbrook,TRUE,345.06,192.4429004,17.43223969,209.8751401,55.77085155,5.0519445,60.82279605
E02000031,Barnet 008,E05000058,Oakleigh,TRUE,331.861,163.5559593,1.143589794,164.6995491,49.28447733,0.344599032,49.62907637
E02000151,Bromley 025,E05000124,Petts Wood and Knoll,TRUE,430.127,223.0072445,0.649752494,223.656997,51.84683699,0.151060616,51.99789761
E02000117,Brent 025,E05000091,Harlesden,TRUE,111.37,31.22889122,0.002190125,31.23108134,28.04066734,0.00196653,28.04263387
E02000018,Barking and Dagenham 017,E05000031,Eastbury,TRUE,143.921,58.69420377,0.228589409,58.92279318,40.78223732,0.158829781,40.9410671
E02006782,Bromley 040,E05000125,Plaistow and Sundridge,TRUE,400.094,241.6068697,1.381830307,242.9887001,60.38752637,0.345376413,60.73290278
E02000125,Brent 033,E05000092,Kensal Green,TRUE,112.008,30.96775561,0.00258779,30.9703434,27.64780695,0.002310362,27.65011731
E02000035,Barnet 012,E05000059,Totteridge,TRUE,877.446,669.6592753,7.167422879,676.8266982,76.31914389,0.816850596,77.13599449
E02000022,Barking and Dagenham 021,E05000032,Gascoigne,TRUE,113.874,28.8594833,4.223676197,33.08315949,25.34334729,3.709078628,29.05242592
E02000134,Bromley 008,E05000125,Plaistow and Sundridge,TRUE,400.094,241.6068697,1.381830307,242.9887001,60.38752637,0.345376413,60.73290278
E02000027,Barnet 004,E05000060,Underhill,TRUE,455.053,295.5301093,0.784267366,296.3143767,64.94410747,0.172346379,65.11645385
E02000147,Bromley 021,E05000126,Shortlands,TRUE,245.665,117.197859,0.378070129,117.5759291,47.7063721,0.153896619,47.86026872
E02000020,Barking and Dagenham 019,E05000032,Gascoigne,TRUE,113.874,28.8594833,4.223676197,33.08315949,25.34334729,3.709078628,29.05242592
