MSOA11CD,MSOA11NM,BC_w_MSOA
E02000773,Redbridge 023,52926042.31
E02000774,Redbridge 024,100482951.2
E02000776,Redbridge 026,21983066.67
E02000777,Redbridge 027,15155474.94
E02000779,Redbridge 029,24257642.08
E02000780,Redbridge 030,65093875.91
E02000781,Redbridge 031,54482337.02
E02000782,Redbridge 032,57085653.94
E02000783,Redbridge 033,4907693.747
E02000784,Richmond upon Thames 001,2558585.878
E02000785,Richmond upon Thames 002,43646741.86
E02000786,Richmond upon Thames 003,62081014.5
E02000787,Richmond upon Thames 004,50948379.13
E02000788,Richmond upon Thames 005,96282541.91
E02000789,Richmond upon Thames 006,64258846.02
E02000790,Richmond upon Thames 007,37366250.74
E02000791,Richmond upon Thames 008,52395266.84
E02000792,Richmond upon Thames 009,42724515.58
E02000793,Richmond upon Thames 010,15060558.36
E02000794,Richmond upon Thames 011,31863942.14
E02000795,Richmond upon Thames 012,11763820.38
E02000796,Richmond upon Thames 013,16977594.43
E02000797,Richmond upon Thames 014,44918505.69
E02000798,Richmond upon Thames 015,23538520.7
E02000799,Richmond upon Thames 016,17732661.95
E02000800,Richmond upon Thames 017,1695715.151
E02000801,Richmond upon Thames 018,28012063.04
E02000802,Richmond upon Thames 019,23635889.92
E02000803,Richmond upon Thames 020,4954034.55
E02000804,Richmond upon Thames 021,30532498.93
E02000805,Richmond upon Thames 022,28858524.94
E02000806,Richmond upon Thames 023,4782433.932
E02000807,Southwark 001,2405302.888
E02000808,Southwark 002,36018586.66
E02000809,Southwark 003,127218858.4
E02000810,Southwark 004,120203595.4
E02000812,Southwark 006,114948698.8
E02000813,Southwark 007,86599766.77
E02000814,Southwark 008,9071126.526
E02000815,Southwark 009,203603372.8
E02000816,Southwark 010,26207468.91
E02000817,Southwark 011,20409344.46
E02000818,Southwark 012,83423097.95
E02000819,Southwark 013,44734483.01
E02000820,Southwark 014,78579890.14
E02000821,Southwark 015,141704632.5
E02000822,Southwark 016,21060390.39
E02000823,Southwark 017,49710365.8
E02000824,Southwark 018,90991730.27
E02000825,Southwark 019,13783275.94
E02000826,Southwark 020,11407353.26
E02000827,Southwark 021,151612380.7
E02000828,Southwark 022,81533641.44
E02000829,Southwark 023,64868301.3
E02000830,Southwark 024,49910938.71
E02000831,Southwark 025,28405153.49
E02000832,Southwark 026,15839482.6
E02000833,Southwark 027,24882651.68
E02000834,Southwark 028,28513744.68
E02000835,Southwark 029,9136415.452
E02000836,Southwark 030,23568215.89
E02000837,Southwark 031,58490769.49
E02000838,Southwark 032,76938126.25
E02000839,Southwark 033,49929438.94
E02000840,Sutton 001,11541643.71
E02000841,Sutton 002,20857623.17
E02000842,Sutton 003,23324949.52
E02000843,Sutton 004,15867229.88
E02000844,Sutton 005,10641374.85
E02000845,Sutton 006,8162757.528
E02000846,Sutton 007,26072981.64
E02000847,Sutton 008,7177025.681
E02000848,Sutton 009,11009207.24
E02000849,Sutton 010,17791000.46
E02000850,Sutton 011,11834405.31
E02000851,Sutton 012,12739206.12
E02000852,Sutton 013,13029491.23
E02000853,Sutton 014,9121224
E02000854,Sutton 015,17749546.86
E02000855,Sutton 016,8379025.379
E02000856,Sutton 017,15251362.09
E02000857,Sutton 018,6672702
E02000858,Sutton 019,7798094.494
E02000859,Sutton 020,14836823.3
E02000860,Sutton 021,5214396.032
E02000861,Sutton 022,3971155.03
E02000863,Sutton 024,4862470.439
E02000864,Tower Hamlets 001,22818586.32
E02000865,Tower Hamlets 002,63697811.75
E02000866,Tower Hamlets 003,89833863.01
E02000867,Tower Hamlets 004,118634295.1
E02000868,Tower Hamlets 005,40956746.17
E02000869,Tower Hamlets 006,60352180.89
E02000870,Tower Hamlets 007,44651357.54
E02000871,Tower Hamlets 008,53271244.36
E02000872,Tower Hamlets 009,51459261.26
E02000873,Tower Hamlets 010,90659271.29
E02000874,Tower Hamlets 011,30808228.41
E02000875,Tower Hamlets 012,31373869.93
E02000876,Tower Hamlets 013,127330608.9
E02000877,Tower Hamlets 014,27465102.77
E02000878,Tower Hamlets 015,156031716.4
E02000879,Tower Hamlets 016,120097637.4
E02000880,Tower Hamlets 017,121451281.8
E02000881,Tower Hamlets 018,39660449.66
E02000882,Tower Hamlets 019,94030448.41
E02000883,Tower Hamlets 020,205386288.4
E02000884,Tower Hamlets 021,191329432.8
E02000885,Tower Hamlets 022,28853178.77
E02000886,Tower Hamlets 023,160051796.1
E02000887,Tower Hamlets 024,84178262.84
E02000888,Tower Hamlets 025,53395184.48
E02000889,Tower Hamlets 026,26241347.53
E02000890,Tower Hamlets 027,51238578.6
E02000891,Tower Hamlets 028,68333617.29
E02000893,Tower Hamlets 030,1944442.125
E02000894,Tower Hamlets 031,2370466.047
E02000895,Waltham Forest 001,10082888.57
E02000896,Waltham Forest 002,5684855.662
E02000897,Waltham Forest 003,15487401.96
E02000898,Waltham Forest 004,5946261.397
E02000899,Waltham Forest 005,16298506.87
E02000900,Waltham Forest 006,19430956.7
E02000901,Waltham Forest 007,6252956.546
E02000902,Waltham Forest 008,27150930.35
E02000903,Waltham Forest 009,7285027.065
E02000904,Waltham Forest 010,43265155.78
E02000905,Waltham Forest 011,34951225.58
E02000906,Waltham Forest 012,56918612.14
E02000907,Waltham Forest 013,44772970.36
E02000908,Waltham Forest 014,18440615.17
E02000909,Waltham Forest 015,14475313.41
E02000910,Waltham Forest 016,43992605.66
E02000911,Waltham Forest 017,15561667.11
E02000912,Waltham Forest 018,7420583.679
E02000913,Waltham Forest 019,31395239.25
E02000914,Waltham Forest 020,26594562.89
E02000915,Waltham Forest 021,16221773.22
E02000916,Waltham Forest 022,53910751.1
E02000917,Waltham Forest 023,42880735.44
E02000918,Waltham Forest 024,30528784.49
E02000919,Waltham Forest 025,55442994.02
E02000920,Waltham Forest 026,39848607.75
E02000921,Waltham Forest 027,14312219.34
E02000922,Waltham Forest 028,29522624.7
E02000923,Wandsworth 001,53065058.65
E02000924,Wandsworth 002,30994062.26
E02000925,Wandsworth 003,58510191.04
E02000926,Wandsworth 004,45861141.08
E02000927,Wandsworth 005,20017273.05
E02000928,Wandsworth 006,36075201.92
E02000929,Wandsworth 007,16855378.91
E02000930,Wandsworth 008,70410214.25
E02000931,Wandsworth 009,123532990
E02000932,Wandsworth 010,124351097.2
E02000933,Wandsworth 011,91630574.33
E02000934,Wandsworth 012,88806062.97
E02000935,Wandsworth 013,10033082.99
E02000936,Wandsworth 014,57988079.6
E02000937,Wandsworth 015,43625174.09
E02000938,Wandsworth 016,13651901.46
E02000939,Wandsworth 017,42390000.33
E02000940,Wandsworth 018,25840201.73
E02000941,Wandsworth 019,50040089.57
E02000942,Wandsworth 020,61137544.45
E02000943,Wandsworth 021,55508579.47
E02000944,Wandsworth 022,16016638.1
E02000945,Wandsworth 023,28269470.28
E02000946,Wandsworth 024,38304547.44
E02000948,Wandsworth 026,45170020.4
E02000949,Wandsworth 027,52477219.68
E02000950,Wandsworth 028,8962193.336
E02000951,Wandsworth 029,112367458.1
E02000952,Wandsworth 030,107028845.4
E02000953,Wandsworth 031,43665307.98
E02000954,Wandsworth 032,62560510.61
E02000955,Wandsworth 033,62445204.84
E02000956,Wandsworth 034,20631110.93
E02000957,Wandsworth 035,55510961.57
E02000958,Wandsworth 036,16730239.05
E02000959,Wandsworth 037,103795487.8
E02000960,Westminster 001,17654746.97
E02000961,Westminster 002,24299382.07
E02000962,Westminster 003,54931482.4
E02000963,Westminster 004,41754754.76
E02000964,Westminster 005,39070164.07
E02000965,Westminster 006,27295036.44
E02000966,Westminster 007,14563185.38
E02000967,Westminster 008,41792506.49
E02000968,Westminster 009,65806843.64
E02000969,Westminster 010,107864488.5
E02000970,Westminster 011,56931078.95
E02000971,Westminster 012,149020212.8
E02000972,Westminster 013,71827289.03
E02000973,Westminster 014,13670198.67
E02000974,Westminster 015,71731124.91
E02000975,Westminster 016,52880367.57
E02000976,Westminster 017,59116438.03
E02000977,Westminster 018,62102656.33
E02000978,Westminster 019,111051420.5
E02000979,Westminster 020,97335726.04
E02000980,Westminster 021,85006922.96
E02000981,Westminster 022,35162129.86
E02000982,Westminster 023,53890947.25
E02000983,Westminster 024,35213077.43
E02006782,Bromley 040,30985793.77
E02006783,Lewisham 037,10544047.64
E02006784,Lewisham 038,20295189.91
E02006785,Bexley 029,31181556.03
E02006786,Greenwich 033,38187340.67
E02006787,Bromley 041,34686716.75
E02006788,Croydon 045,10706522.66
E02006789,Bromley 042,3924041.118
E02006791,Ealing 040,4733692.558
E02006792,Hounslow 029,110155037
E02006793,Enfield 037,13110337.86
E02006794,Haringey 037,42018721.25
E02006795,Harrow 032,5131229.067
E02006796,Hillingdon 033,19098966.99
E02006798,Lewisham 039,53749644.29
E02006799,Barking and Dagenham 023,40696136.88
E02006800,Redbridge 034,74208391.42
E02006801,Lambeth 036,196484034.6
E02006802,Southwark 034,128476375.3
E02006836,Sutton 025,1950496.618
E02006853,Tower Hamlets 032,3454626.5
E02006854,Tower Hamlets 033,11397455.99
E02006882,Harrow 033,40690637.08
E02006918,Hackney 028,46672913.03
E02006921,Hackney 029,81389695.62
E02006924,Redbridge 035,33374456.85
E02006925,Redbridge 036,39382628.22
E02006927,Greenwich 034,38180766.9
E02006928,Greenwich 035,37410663.57
E02006929,Greenwich 036,89961646.87
E02006930,Greenwich 037,116584736.7
E02006931,Greenwich 038,97747957.49
