MSOA11CD,MSOA11NM,BC_w_MSOA
E02000180,Camden 015,62643320.17
E02000181,Camden 016,38663754.71
E02000182,Camden 017,48782704.8
E02000183,Camden 018,35633665.02
E02000184,Camden 019,72515885.52
E02000185,Camden 020,94374969.19
E02000186,Camden 021,90278607.33
E02000187,Camden 022,66340950.04
E02000188,Camden 023,79570771.56
E02000189,Camden 024,26238222.81
E02000190,Camden 025,63983843.88
E02000191,Camden 026,44062565.41
E02000192,Camden 027,128090063.5
E02000193,Camden 028,187772617
E02000194,Croydon 001,42269284.37
E02000195,Croydon 002,20917209.24
E02000196,Croydon 003,53447966.07
E02000197,Croydon 004,43791866.08
E02000198,Croydon 005,9971019.046
E02000199,Croydon 006,21547004.14
E02000200,Croydon 007,45333976.07
E02000201,Croydon 008,27936012.39
E02000202,Croydon 009,47165766.65
E02000203,Croydon 010,19026957.62
E02000204,Croydon 011,53652297.59
E02000206,Croydon 013,42472044.16
E02000207,Croydon 014,18692401.21
E02000208,Croydon 015,25745496.11
E02000209,Croydon 016,33494437.8
E02000210,Croydon 017,5716367.252
E02000211,Croydon 018,11125955.58
E02000212,Croydon 019,41484272.76
E02000213,Croydon 020,38678272.1
E02000214,Croydon 021,33612620.64
E02000215,Croydon 022,25799828.74
E02000216,Croydon 023,16213849.9
E02000217,Croydon 024,26823976.65
E02000218,Croydon 025,9620539.844
E02000219,Croydon 026,29116461.48
E02000220,Croydon 027,40046332.11
E02000221,Croydon 028,21254203.77
E02000222,Croydon 029,23128006.19
E02000223,Croydon 030,9027264.73
E02000224,Croydon 031,25364048.32
E02000225,Croydon 032,5360831.39
E02000226,Croydon 033,8332556.645
E02000227,Croydon 034,8281883.883
E02000228,Croydon 035,6091204.365
E02000229,Croydon 036,4670267.269
E02000230,Croydon 037,17034267.98
E02000231,Croydon 038,10595506.91
E02000232,Croydon 039,2647903.627
E02000233,Croydon 040,3707037.563
E02000234,Croydon 041,10325045.87
E02000235,Croydon 042,2374520.993
E02000236,Croydon 043,2159839.509
E02000237,Croydon 044,2995252.359
E02000238,Ealing 001,30427207.12
E02000239,Ealing 002,42448086.01
E02000240,Ealing 003,29343706.51
E02000241,Ealing 004,23869389.64
E02000242,Ealing 005,3114928.321
E02000243,Ealing 006,19514811.77
E02000244,Ealing 007,11311515.8
E02000245,Ealing 008,14513673.07
E02000246,Ealing 009,20786911.53
E02000247,Ealing 010,18124028.15
E02000249,Ealing 012,27685202.35
E02000250,Ealing 013,6656814.874
E02000251,Ealing 014,12089071.1
E02000252,Ealing 015,57650705.02
E02000253,Ealing 016,14797030.15
E02000254,Ealing 017,8400861.682
E02000255,Ealing 018,15663801.33
E02000256,Ealing 019,60174181.18
E02000257,Ealing 020,79848064.28
E02000258,Ealing 021,37476544.7
E02000259,Ealing 022,3567665.611
E02000260,Ealing 023,78542605.64
E02000261,Ealing 024,77079972.57
E02000262,Ealing 025,117862296.7
E02000263,Ealing 026,61517962.53
E02000264,Ealing 027,146958459.9
E02000265,Ealing 028,77872130.58
E02000266,Ealing 029,55527302.49
E02000267,Ealing 030,52524233.56
E02000268,Ealing 031,13766972.32
E02000269,Ealing 032,13987398.28
E02000270,Ealing 033,46308832.09
E02000271,Ealing 034,53363103.58
E02000272,Ealing 035,14468289.01
E02000274,Ealing 037,9514466.035
E02000275,Ealing 038,21020941.7
E02000276,Ealing 039,16534437.67
E02000277,Enfield 001,2595086.725
E02000278,Enfield 002,5955707.906
E02000279,Enfield 003,3842937.681
E02000280,Enfield 004,2982102.958
E02000281,Enfield 005,6991516.796
E02000282,Enfield 006,10418048.34
E02000283,Enfield 007,4551590.785
E02000284,Enfield 008,9166457.425
E02000285,Enfield 009,8723472.762
E02000286,Enfield 010,4230334.779
E02000287,Enfield 011,7445135.964
E02000288,Enfield 012,17374188.18
E02000289,Enfield 013,5802173.021
E02000290,Enfield 014,16160226.99
E02000291,Enfield 015,9643390.311
E02000292,Enfield 016,12500885.19
E02000293,Enfield 017,9371251.859
E02000294,Enfield 018,13902700.56
E02000295,Enfield 019,6614187.735
E02000296,Enfield 020,16876307.78
E02000297,Enfield 021,15782725.44
E02000298,Enfield 022,15239744.06
E02000299,Enfield 023,23370377.11
E02000300,Enfield 024,18301938.66
E02000301,Enfield 025,5284890.287
E02000302,Enfield 026,14136184.32
E02000303,Enfield 027,24807445.36
E02000304,Enfield 028,27013828.87
E02000305,Enfield 029,27826553.4
E02000306,Enfield 030,33118320.4
E02000307,Enfield 031,22981727.89
E02000308,Enfield 032,31220023.49
E02000309,Enfield 033,38896511.78
E02000311,Enfield 035,24883895.77
E02000312,Enfield 036,34507912.05
E02000313,Greenwich 001,4728809.163
E02000314,Greenwich 002,9551809.624
E02000315,Greenwich 003,4235666.58
E02000316,Greenwich 004,61011475.61
E02000317,Greenwich 005,16455091.72
E02000318,Greenwich 006,36710031.03
E02000319,Greenwich 007,22515124.49
E02000320,Greenwich 008,35451079.28
E02000321,Greenwich 009,19671108.59
E02000323,Greenwich 011,27268579.25
E02000324,Greenwich 012,23465885.98
E02000326,Greenwich 014,36192560.08
E02000327,Greenwich 015,22566370.26
E02000328,Greenwich 016,45165138.47
E02000329,Greenwich 017,16126754.97
E02000331,Greenwich 019,71353651.02
E02000332,Greenwich 020,44647010.71
E02000333,Greenwich 021,42647994.77
E02000334,Greenwich 022,17295987.15
E02000335,Greenwich 023,22671403.19
E02000337,Greenwich 025,24171862.32
E02000339,Greenwich 027,33579924.99
E02000340,Greenwich 028,29821812.21
E02000341,Greenwich 029,36090309.56
E02000342,Greenwich 030,13551749.47
E02000343,Greenwich 031,35742757.5
E02000344,Greenwich 032,23659325.42
E02000345,Hackney 001,92799958.24
E02000346,Hackney 002,102224993.2
E02000347,Hackney 003,5916318.432
E02000348,Hackney 004,91289286.04
E02000350,Hackney 006,40173760.87
E02000351,Hackney 007,31448122.7
E02000352,Hackney 008,16825872.39
E02000353,Hackney 009,36906246.09
E02000354,Hackney 010,27909428.32
E02000355,Hackney 011,102869775.4
E02000356,Hackney 012,22183304.4
E02000357,Hackney 013,13952995.54
E02000358,Hackney 014,50633902.11
E02000359,Hackney 015,4862374.161
E02000360,Hackney 016,34646747.18
E02000361,Hackney 017,100181760.9
E02000362,Hackney 018,77019646.78
E02000363,Hackney 019,89982296.21
E02000364,Hackney 020,34097092.17
E02000365,Hackney 021,47494665.06
E02000366,Hackney 022,57292247.36
E02000367,Hackney 023,53526849.15
E02000368,Hackney 024,12341195.24
E02000369,Hackney 025,18155699.46
E02000370,Hackney 026,37172091.44
E02000371,Hackney 027,146101302.2
E02000372,Hammersmith and Fulham 001,35844885.19
E02000373,Hammersmith and Fulham 002,5432431.641
E02000374,Hammersmith and Fulham 003,128129944.6
E02000375,Hammersmith and Fulham 004,121855314.8
E02000376,Hammersmith and Fulham 005,295932693.1
E02000377,Hammersmith and Fulham 006,163696006.2
E02000378,Hammersmith and Fulham 007,73488937.88
E02000379,Hammersmith and Fulham 008,80279965.5
E02000380,Hammersmith and Fulham 009,66048145.86
E02000381,Hammersmith and Fulham 010,34545092.29
E02000382,Hammersmith and Fulham 011,83938091.42
E02000383,Hammersmith and Fulham 012,33531991.67
E02000384,Hammersmith and Fulham 013,70598023.9
E02000385,Hammersmith and Fulham 014,45257777.85
E02000386,Hammersmith and Fulham 015,32998051.71
E02000387,Hammersmith and Fulham 016,31925049.51
E02000388,Hammersmith and Fulham 017,55568859.89
E02000389,Hammersmith and Fulham 018,47468366.63
E02000390,Hammersmith and Fulham 019,8570994.036
E02000391,Hammersmith and Fulham 020,97153077.76
E02000392,Hammersmith and Fulham 021,24607999.57
E02000393,Hammersmith and Fulham 022,72829483.14
E02000394,Hammersmith and Fulham 023,19899449.39
E02000395,Hammersmith and Fulham 024,147856133.2
E02000396,Hammersmith and Fulham 025,93546405.58
E02000397,Haringey 001,8477850.456
E02000398,Haringey 002,5361924.57
E02000400,Haringey 004,42737973.94
E02000401,Haringey 005,21899993.41
E02000402,Haringey 006,15056327.45
E02000403,Haringey 007,36676486.43
E02000404,Haringey 008,5337746.315
E02000405,Haringey 009,17159027.08
E02000406,Haringey 010,16887781.33
