MSOA11CD,MSOA11NM,LAD11CD,LAD11NM,RGN11CD,RGN11NM,USUALRES,HHOLDRES,COMESTRES,POPDEN,HHOLDS,AVHHOLDSZ,NUMPOINTS
E02000055,Barnet 032,E09000003,Barnet,E12000007,London,"11130","10893","237",77.3000,"4179",2.6000,9
E02000056,Barnet 033,E09000003,Barnet,E12000007,London,"9212","9042","170",28.5000,"3390",2.7000,7
E02000057,Barnet 034,E09000003,Barnet,E12000007,London,"7484","7437","47",68.4000,"2460",3.0000,5
E02000058,Barnet 035,E09000003,Barnet,E12000007,London,"10220","10177","43",56.4000,"3961",2.6000,7
E02000059,Barnet 036,E09000003,Barnet,E12000007,London,"10459","10442","17",47.7000,"3990",2.6000,7
E02000060,Barnet 037,E09000003,Barnet,E12000007,London,"10920","10693","227",88.6000,"3400",3.1000,5
E02000061,Barnet 038,E09000003,Barnet,E12000007,London,"8013","7875","138",50.5000,"3172",2.5000,2
E02000062,Barnet 039,E09000003,Barnet,E12000007,London,"6340","6302","38",34.5000,"2357",2.7000,4
E02000063,Barnet 040,E09000003,Barnet,E12000007,London,"6971","6886","85",67.2000,"2503",2.8000,2
E02000064,Barnet 041,E09000003,Barnet,E12000007,London,"6248","6016","232",78.7000,"2450",2.5000,1
E02000065,Bexley 001,E09000004,Bexley,E12000007,London,"7666","7652","14",23.9000,"2728",2.8000,4
E02000066,Bexley 002,E09000004,Bexley,E12000007,London,"9641","9599","42",61.3000,"3795",2.5000,4
E02000067,Bexley 003,E09000004,Bexley,E12000007,London,"8750","8737","13",37.8000,"3580",2.4000,6
E02000068,Bexley 004,E09000004,Bexley,E12000007,London,"7388","7388","0",32.5000,"3041",2.4000,0
E02000069,Bexley 005,E09000004,Bexley,E12000007,London,"6194","6144","50",42.7000,"2495",2.5000,3
E02000070,Bexley 006,E09000004,Bexley,E12000007,London,"7875","7875","0",42.4000,"3177",2.5000,2
E02000071,Bexley 007,E09000004,Bexley,E12000007,London,"7300","7300","0",61.9000,"2782",2.6000,4
E02000072,Bexley 008,E09000004,Bexley,E12000007,London,"11734","11726","8",26.8000,"4722",2.5000,2
E02000073,Bexley 009,E09000004,Bexley,E12000007,London,"10724","10724","0",67.0000,"3968",2.7000,3
E02000074,Bexley 010,E09000004,Bexley,E12000007,London,"7655","7573","82",67.8000,"3185",2.4000,1
E02000075,Bexley 011,E09000004,Bexley,E12000007,London,"7948","7920","28",51.8000,"3172",2.5000,2
E02000077,Bexley 013,E09000004,Bexley,E12000007,London,"7823","7760","63",70.0000,"2870",2.7000,2
E02000078,Bexley 014,E09000004,Bexley,E12000007,London,"7665","7665","0",51.5000,"3036",2.5000,2
E02000079,Bexley 015,E09000004,Bexley,E12000007,London,"7865","7713","152",47.7000,"3267",2.4000,2
E02000080,Bexley 016,E09000004,Bexley,E12000007,London,"9430","9430","0",55.7000,"3702",2.5000,4
E02000081,Bexley 017,E09000004,Bexley,E12000007,London,"7513","7486","27",34.1000,"3106",2.4000,6
E02000082,Bexley 018,E09000004,Bexley,E12000007,London,"8876","8876","0",59.3000,"3356",2.6000,3
E02000083,Bexley 019,E09000004,Bexley,E12000007,London,"9771","9750","21",26.1000,"3985",2.4000,5
E02000084,Bexley 020,E09000004,Bexley,E12000007,London,"10641","10635","6",41.0000,"4209",2.5000,7
E02000085,Bexley 021,E09000004,Bexley,E12000007,London,"7893","7893","0",48.6000,"3084",2.6000,2
E02000086,Bexley 022,E09000004,Bexley,E12000007,London,"7328","7323","5",49.2000,"2789",2.6000,4
E02000087,Bexley 023,E09000004,Bexley,E12000007,London,"7579","7559","20",20.4000,"3142",2.4000,2
E02000088,Bexley 024,E09000004,Bexley,E12000007,London,"7737","7737","0",38.7000,"2984",2.6000,2
E02000089,Bexley 025,E09000004,Bexley,E12000007,London,"7783","7635","148",56.9000,"2899",2.6000,1
E02000090,Bexley 026,E09000004,Bexley,E12000007,London,"8726","8469","257",48.2000,"3962",2.1000,6
E02000091,Bexley 027,E09000004,Bexley,E12000007,London,"9682","9542","140",35.4000,"4279",2.2000,3
E02000092,Bexley 028,E09000004,Bexley,E12000007,London,"6426","6407","19",10.7000,"2722",2.4000,4
E02000093,Brent 001,E09000005,Brent,E12000007,London,"10883","10776","107",79.0000,"3408",3.2000,4
E02000094,Brent 002,E09000005,Brent,E12000007,London,"8746","8640","106",75.2000,"2738",3.2000,2
E02000095,Brent 003,E09000005,Brent,E12000007,London,"9921","9783","138",64.1000,"3117",3.1000,8
E02000096,Brent 004,E09000005,Brent,E12000007,London,"7598","7535","63",46.5000,"2518",3.0000,3
E02000097,Brent 005,E09000005,Brent,E12000007,London,"8958","8958","0",47.9000,"2926",3.1000,2
E02000098,Brent 006,E09000005,Brent,E12000007,London,"7944","7917","27",43.2000,"2652",3.0000,2
E02000099,Brent 007,E09000005,Brent,E12000007,London,"8707","8651","56",67.6000,"2782",3.1000,1
E02000100,Brent 008,E09000005,Brent,E12000007,London,"8388","7718","670",40.4000,"2696",2.9000,1
E02000101,Brent 009,E09000005,Brent,E12000007,London,"9332","9162","170",66.5000,"3312",2.8000,7
E02000102,Brent 010,E09000005,Brent,E12000007,London,"7787","7783","4",57.3000,"2496",3.1000,2
E02000103,Brent 011,E09000005,Brent,E12000007,London,"8723","8705","18",49.2000,"2994",2.9000,6
E02000104,Brent 012,E09000005,Brent,E12000007,London,"6767","6665","102",61.1000,"2213",3.0000,6
E02000105,Brent 013,E09000005,Brent,E12000007,London,"9202","9160","42",67.2000,"2997",3.1000,3
E02000106,Brent 014,E09000005,Brent,E12000007,London,"10217","10208","9",76.2000,"3449",3.0000,2
E02000107,Brent 015,E09000005,Brent,E12000007,London,"10692","10625","67",112.0000,"4107",2.6000,2
E02000108,Brent 016,E09000005,Brent,E12000007,London,"6584","6565","19",81.0000,"2147",3.1000,0
E02000109,Brent 017,E09000005,Brent,E12000007,London,"9864","9693","171",50.8000,"3264",3.0000,2
E02000110,Brent 018,E09000005,Brent,E12000007,London,"8087","8083","4",101.2000,"2969",2.7000,1
E02000111,Brent 019,E09000005,Brent,E12000007,London,"9782","9696","86",86.7000,"2914",3.3000,1
E02000112,Brent 020,E09000005,Brent,E12000007,London,"9432","9326","106",74.3000,"2892",3.2000,4
E02000113,Brent 021,E09000005,Brent,E12000007,London,"9655","9655","0",65.1000,"3306",2.9000,5
E02000114,Brent 022,E09000005,Brent,E12000007,London,"9010","8997","13",146.9000,"3528",2.6000,4
E02000115,Brent 023,E09000005,Brent,E12000007,London,"8340","8298","42",98.3000,"3911",2.1000,1
E02000116,Brent 024,E09000005,Brent,E12000007,London,"8153","8146","7",74.4000,"3072",2.7000,3
E02000117,Brent 025,E09000005,Brent,E12000007,London,"12013","11944","69",135.0000,"4557",2.6000,4
E02000118,Brent 026,E09000005,Brent,E12000007,London,"9425","9419","6",76.4000,"2849",3.3000,3
E02000119,Brent 027,E09000005,Brent,E12000007,London,"7248","7222","26",28.2000,"2597",2.8000,2
E02000120,Brent 028,E09000005,Brent,E12000007,London,"9214","9204","10",182.1000,"4277",2.2000,3
E02000121,Brent 029,E09000005,Brent,E12000007,London,"8933","8932","1",64.0000,"2623",3.4000,1
E02000122,Brent 030,E09000005,Brent,E12000007,London,"8079","8063","16",67.2000,"3047",2.6000,5
E02000123,Brent 031,E09000005,Brent,E12000007,London,"14719","14657","62",142.2000,"5884",2.5000,6
E02000124,Brent 032,E09000005,Brent,E12000007,London,"10222","10168","54",93.2000,"4334",2.3000,6
E02000125,Brent 033,E09000005,Brent,E12000007,London,"10815","10803","12",141.2000,"4329",2.5000,1
E02000126,Brent 034,E09000005,Brent,E12000007,London,"7775","7738","37",177.6000,"3381",2.3000,5
E02000127,Bromley 001,E09000006,Bromley,E12000007,London,"8483","8435","48",38.1000,"3675",2.3000,6
E02000128,Bromley 002,E09000006,Bromley,E12000007,London,"7294","7230","64",28.8000,"3006",2.4000,2
E02000130,Bromley 004,E09000006,Bromley,E12000007,London,"7914","7889","25",53.3000,"3464",2.3000,2
E02000131,Bromley 005,E09000006,Bromley,E12000007,London,"8954","8894","60",50.7000,"4589",1.9000,0
E02000132,Bromley 006,E09000006,Bromley,E12000007,London,"8567","8486","81",49.3000,"4668",1.8000,1
E02000133,Bromley 007,E09000006,Bromley,E12000007,London,"9606","9403","203",16.1000,"3961",2.4000,8
E02000134,Bromley 008,E09000006,Bromley,E12000007,London,"10773","10614","159",55.7000,"5106",2.1000,4
E02000135,Bromley 009,E09000006,Bromley,E12000007,London,"9734","9614","120",84.1000,"4402",2.2000,4
E02000136,Bromley 010,E09000006,Bromley,E12000007,London,"5728","5323","405",12.6000,"2207",2.4000,5
E02000137,Bromley 011,E09000006,Bromley,E12000007,London,"7826","7679","147",42.0000,"3637",2.1000,4
E02000138,Bromley 012,E09000006,Bromley,E12000007,London,"7936","7927","9",38.1000,"4057",2.0000,3
E02000139,Bromley 013,E09000006,Bromley,E12000007,London,"7284","7266","18",47.4000,"3202",2.3000,5
E02000140,Bromley 014,E09000006,Bromley,E12000007,London,"8041","8041","0",42.6000,"3301",2.4000,4
E02000141,Bromley 015,E09000006,Bromley,E12000007,London,"6940","6918","22",74.4000,"3055",2.3000,1
