MSOA Code,MSOA Name,house_mean_price,crime_rate,PM_index
E02000163,Bromley 037,405412,43,60
E02000164,Bromley 038,354131,58,57
E02000165,Bromley 039,240389,42,58
E02000166,Camden 001,841157,81,98
E02000167,Camden 002,1288115,78,105
E02000168,Camden 003,658291,113,126
E02000169,Camden 004,1619090,54,113
E02000170,Camden 005,647544,55,113
E02000171,Camden 006,791014,57,126
E02000172,Camden 007,489156,79,124
E02000173,Camden 008,1275480,81,135
E02000174,Camden 009,466924,68,122
E02000175,Camden 010,569011,89,135
E02000176,Camden 011,850661,51,121
E02000177,Camden 012,479224,103,126
E02000178,Camden 013,414772,94,127
E02000179,Camden 014,851042,65,136
E02000180,Camden 015,473124,84,140
E02000181,Camden 016,663407,54,114
E02000182,Camden 017,1385852,97,138
E02000183,Camden 018,1320660,242,117
E02000184,Camden 019,388115,132,145
E02000185,Camden 020,452031,107,133
E02000186,Camden 021,1778024,532,142
E02000187,Camden 022,429959,98,140
E02000188,Camden 023,319342,71,149
E02000189,Camden 024,573162,169,166
E02000190,Camden 025,461845,152,154
E02000191,Camden 026,878259,385,184
E02000192,Camden 027,636632,147,154
E02000193,Camden 028,801239,656,187
E02000194,Croydon 001,273775,84,89
E02000195,Croydon 002,322514,59,89
E02000196,Croydon 003,292311,67,88
E02000197,Croydon 004,260943,64,87
E02000198,Croydon 005,198119,77,90
E02000199,Croydon 006,216597,62,90
E02000200,Croydon 007,209594,90,87
E02000201,Croydon 008,180117,100,86
E02000202,Croydon 009,217175,65,85
E02000203,Croydon 010,186669,117,92
E02000204,Croydon 011,215836,88,91
E02000205,Croydon 012,214005,66,80
E02000206,Croydon 013,187923,103,88
E02000207,Croydon 014,187806,68,85
E02000208,Croydon 015,167811,104,90
E02000209,Croydon 016,185485,89,91
E02000210,Croydon 017,216352,49,82
E02000211,Croydon 018,298064,34,76
E02000212,Croydon 019,180009,137,94
E02000213,Croydon 020,178838,177,96
E02000214,Croydon 021,291593,48,84
E02000215,Croydon 022,213819,68,89
E02000216,Croydon 023,288640,39,80
E02000217,Croydon 024,195345,186,98
E02000218,Croydon 025,306318,44,73
E02000219,Croydon 026,326966,69,73
E02000220,Croydon 027,183020,251,102
E02000221,Croydon 028,233600,82,89
E02000222,Croydon 029,265500,62,84
E02000223,Croydon 030,169545,71,73
E02000224,Croydon 031,248444,77,84
E02000225,Croydon 032,185636,56,67
E02000226,Croydon 033,332831,36,72
E02000227,Croydon 034,221672,45,67
E02000228,Croydon 035,421052,31,72
E02000229,Croydon 036,178667,85,67
E02000230,Croydon 037,331777,74,86
E02000231,Croydon 038,586091,38,73
E02000232,Croydon 039,323223,37,65
E02000233,Croydon 040,287060,39,73
E02000234,Croydon 041,317575,52,72
E02000235,Croydon 042,346189,34,66
E02000236,Croydon 043,352933,32,66
E02000237,Croydon 044,317920,35,62
E02000238,Ealing 001,241679,62,90
E02000239,Ealing 002,295494,51,89
E02000240,Ealing 003,234357,62,89
E02000241,Ealing 004,238025,81,88
E02000242,Ealing 005,287552,51,90
E02000243,Ealing 006,238952,87,98
E02000244,Ealing 007,257125,107,107
E02000245,Ealing 008,175036,81,93
E02000246,Ealing 009,205626,77,82
E02000247,Ealing 010,203008,79,96
E02000248,Ealing 011,384253,91,133
E02000249,Ealing 012,272561,95,99
E02000250,Ealing 013,530468,41,102
E02000251,Ealing 014,258838,55,92
E02000252,Ealing 015,296305,147,131
E02000253,Ealing 016,284433,70,96
E02000254,Ealing 017,240778,47,94
E02000255,Ealing 018,430909,53,110
E02000256,Ealing 019,579555,60,126
E02000257,Ealing 020,456470,149,132
E02000258,Ealing 021,426203,54,131
E02000259,Ealing 022,355559,58,103
E02000260,Ealing 023,250214,141,121
E02000261,Ealing 024,359424,92,121
E02000262,Ealing 025,435476,148,115
E02000263,Ealing 026,223252,78,116
E02000264,Ealing 027,446740,83,122
E02000265,Ealing 028,360048,102,117
E02000266,Ealing 029,224492,96,109
E02000267,Ealing 030,338391,67,118
E02000268,Ealing 031,532049,59,102
E02000269,Ealing 032,485586,57,96
E02000270,Ealing 033,412422,73,106
E02000271,Ealing 034,788812,80,101
E02000272,Ealing 035,481057,42,90
E02000273,Ealing 036,556309,59,103
E02000274,Ealing 037,215526,87,116
E02000275,Ealing 038,320166,89,100
E02000276,Ealing 039,399989,50,97
E02000277,Enfield 001,214710,51,107
E02000278,Enfield 002,194889,75,96
E02000279,Enfield 003,205965,56,85
E02000280,Enfield 004,284917,49,79
E02000281,Enfield 005,221449,56,82
E02000282,Enfield 006,193992,85,79
E02000283,Enfield 007,231211,62,79
E02000284,Enfield 008,261262,49,78
E02000285,Enfield 009,296872,34,81
E02000286,Enfield 010,305622,43,76
E02000287,Enfield 011,877666,40,69
E02000288,Enfield 012,193742,105,85
E02000289,Enfield 013,424716,28,71
E02000290,Enfield 014,165080,93,78
E02000291,Enfield 015,237393,91,84
E02000292,Enfield 016,240833,67,87
