MSOA11CD,MSOA11NM,LAD11CD,LAD11NM,RGN11CD,RGN11NM,USUALRES,HHOLDRES,COMESTRES,POPDEN,HHOLDS,AVHHOLDSZ,x,y
E02000236,Croydon 043,E09000008,Croydon,E12000007,London,7659,7631,28,21.4,2838,2.7,529297.579,158415.204
E02000237,Croydon 044,E09000008,Croydon,E12000007,London,7475,7455,20,15.1,3090,2.4,531288.494,157493.753
E02000238,Ealing 001,E09000009,Ealing,E12000007,London,9500,9381,119,62.4,3179,3,514638.428,185127.541
E02000239,Ealing 002,E09000009,Ealing,E12000007,London,9000,9000,0,38.2,2924,3.1,516115.287,184605.835
E02000240,Ealing 003,E09000009,Ealing,E12000007,London,10265,10265,0,59.4,3770,2.7,512811.117,184719.803
E02000241,Ealing 004,E09000009,Ealing,E12000007,London,6639,6639,0,50.9,2366,2.8,513513.625,184311.712
E02000242,Ealing 005,E09000009,Ealing,E12000007,London,6763,6763,0,76.1,2151,3.1,517115.125,183641.453
E02000243,Ealing 006,E09000009,Ealing,E12000007,London,8509,8467,42,29.9,3068,2.8,514849.872,183450.804
E02000244,Ealing 007,E09000009,Ealing,E12000007,London,7172,7172,0,39.9,2658,2.7,516404.143,183154.453
E02000245,Ealing 008,E09000009,Ealing,E12000007,London,8156,8144,12,49.3,3210,2.5,512126.561,183472.979
E02000246,Ealing 009,E09000009,Ealing,E12000007,London,8748,8748,0,42.5,3071,2.8,511049.557,183260.910
E02000247,Ealing 010,E09000009,Ealing,E12000007,London,10308,10090,218,73.7,3755,2.7,513270.066,183043.203
E02000248,Ealing 011,E09000009,Ealing,E12000007,London,7334,7334,0,42.5,2902,2.5,518590.908,182584.165
E02000249,Ealing 012,E09000009,Ealing,E12000007,London,7721,7678,43,60.4,2739,2.8,514313.553,182267.505
E02000250,Ealing 013,E09000009,Ealing,E12000007,London,6487,6367,120,65,2541,2.5,517447.357,182241.337
E02000251,Ealing 014,E09000009,Ealing,E12000007,London,7944,7944,0,84,2442,3.3,513649.349,182086.215
E02000252,Ealing 015,E09000009,Ealing,E12000007,London,9706,9647,59,30.4,3717,2.6,520555.721,182146.418
E02000253,Ealing 016,E09000009,Ealing,E12000007,London,9632,9565,67,83.3,3744,2.6,515509.176,181806.616
E02000254,Ealing 017,E09000009,Ealing,E12000007,London,8949,8827,122,86,2487,3.5,512942.900,181530.975
E02000255,Ealing 018,E09000009,Ealing,E12000007,London,9465,9329,136,61.1,3622,2.6,516337.162,181673.875
E02000256,Ealing 019,E09000009,Ealing,E12000007,London,8861,8651,210,80.8,3782,2.3,517058.993,181147.142
E02000257,Ealing 020,E09000009,Ealing,E12000007,London,13509,13210,299,61.9,5873,2.2,518376.051,181199.959
E02000258,Ealing 021,E09000009,Ealing,E12000007,London,6730,6659,71,65.2,2544,2.6,519881.622,181178.818
E02000259,Ealing 022,E09000009,Ealing,E12000007,London,6276,6275,1,49.1,2283,2.7,515086.666,181133.568
E02000260,Ealing 023,E09000009,Ealing,E12000007,London,8710,8532,178,80.2,2468,3.5,513080.940,180523.114
E02000261,Ealing 024,E09000009,Ealing,E12000007,London,10766,10752,14,82.5,4110,2.6,521268.560,180601.520
E02000262,Ealing 025,E09000009,Ealing,E12000007,London,8925,8755,170,126.2,3771,2.3,520204.787,180382.541
E02000263,Ealing 026,E09000009,Ealing,E12000007,London,11637,11575,62,94.2,3155,3.7,512057.907,180172.585
E02000264,Ealing 027,E09000009,Ealing,E12000007,London,8103,7979,124,56.4,3205,2.5,519074.217,180243.023
E02000265,Ealing 028,E09000009,Ealing,E12000007,London,11119,10981,138,109.7,4747,2.3,516301.892,180205.884
E02000266,Ealing 029,E09000009,Ealing,E12000007,London,12331,11638,693,31.9,3711,3.1,514141.204,179943.469
E02000267,Ealing 030,E09000009,Ealing,E12000007,London,6926,6913,13,91.9,2847,2.4,515426.297,179966.504
E02000268,Ealing 031,E09000009,Ealing,E12000007,London,9358,9125,233,70.6,3824,2.4,517989.181,179833.515
E02000269,Ealing 032,E09000009,Ealing,E12000007,London,8078,8003,75,91.3,3245,2.5,517110.557,179801.115
E02000270,Ealing 033,E09000009,Ealing,E12000007,London,8043,8040,3,101,3331,2.4,519923.490,179634.951
E02000271,Ealing 034,E09000009,Ealing,E12000007,London,6763,6757,6,90.5,2871,2.4,521011.232,179495.388
E02000272,Ealing 035,E09000009,Ealing,E12000007,London,6748,6703,45,56.3,2579,2.6,516060.915,179218.491
E02000274,Ealing 037,E09000009,Ealing,E12000007,London,12733,12724,9,88.7,3557,3.6,511774.124,179137.282
E02000275,Ealing 038,E09000009,Ealing,E12000007,London,7102,6923,179,60.6,2131,3.2,513076.311,178919.336
E02000276,Ealing 039,E09000009,Ealing,E12000007,London,6722,6459,263,79.9,2634,2.5,517372.003,178870.163
E02000277,Enfield 001,E09000010,Enfield,E12000007,London,7081,7038,43,67.6,2651,2.7,535921.877,199517.216
E02000278,Enfield 002,E09000010,Enfield,E12000007,London,8837,8771,66,67.2,3278,2.7,535206.248,199136.989
E02000279,Enfield 003,E09000010,Enfield,E12000007,London,11292,11289,3,43.3,4356,2.6,536951.618,198922.904
E02000280,Enfield 004,E09000010,Enfield,E12000007,London,8515,8464,51,5.5,3466,2.4,531091.358,199397.066
E02000281,Enfield 005,E09000010,Enfield,E12000007,London,8835,8705,130,46.6,3531,2.5,533925.799,198199.684
E02000282,Enfield 006,E09000010,Enfield,E12000007,London,9115,9112,3,72.2,3491,2.6,535241.101,197988.959
E02000283,Enfield 007,E09000010,Enfield,E12000007,London,8424,8408,16,73.9,2843,3,535974.539,197580.765
E02000284,Enfield 008,E09000010,Enfield,E12000007,London,8200,8152,48,63.9,3497,2.3,532413.290,197317.237
E02000285,Enfield 009,E09000010,Enfield,E12000007,London,6597,6568,29,67,2466,2.7,533403.883,197304.009
E02000286,Enfield 010,E09000010,Enfield,E12000007,London,8158,7940,218,39.8,3863,2.1,531456.915,197407.077
E02000287,Enfield 011,E09000010,Enfield,E12000007,London,6823,6494,329,7.7,2540,2.6,527839.917,197706.085
E02000288,Enfield 012,E09000010,Enfield,E12000007,London,10490,10462,28,49.6,3784,2.8,534907.966,196514.089
E02000289,Enfield 013,E09000010,Enfield,E12000007,London,6569,6569,0,19.3,2421,2.7,530453.031,196695.972
E02000290,Enfield 014,E09000010,Enfield,E12000007,London,7242,7242,0,14.8,2853,2.5,536755.503,196474.423
E02000291,Enfield 015,E09000010,Enfield,E12000007,London,8924,8809,115,77.1,3998,2.2,533372.054,195893.014
E02000292,Enfield 016,E09000010,Enfield,E12000007,London,9518,9495,23,50.7,3578,2.7,534157.489,195876.458
E02000293,Enfield 017,E09000010,Enfield,E12000007,London,6307,6274,33,29.2,2470,2.5,531995.857,195636.307
E02000294,Enfield 018,E09000010,Enfield,E12000007,London,8879,8700,179,59.2,3009,2.9,535892.195,194996.583
E02000295,Enfield 019,E09000010,Enfield,E12000007,London,8374,8287,87,51.7,3347,2.5,530229.216,195071.930
E02000296,Enfield 020,E09000010,Enfield,E12000007,London,9535,9406,129,52.9,3941,2.4,529285.633,195314.422
E02000297,Enfield 021,E09000010,Enfield,E12000007,London,9298,9235,63,57.4,3482,2.7,532971.796,194719.285
E02000298,Enfield 022,E09000010,Enfield,E12000007,London,7976,7909,67,39.9,3075,2.6,531267.360,194431.851
E02000299,Enfield 023,E09000010,Enfield,E12000007,London,9312,9262,50,106.2,3438,2.7,534841.179,194376.007
E02000300,Enfield 024,E09000010,Enfield,E12000007,London,8157,8102,55,105,2998,2.7,533985.497,194283.979
E02000301,Enfield 025,E09000010,Enfield,E12000007,London,10070,10070,0,55.2,3923,2.6,536029.170,193846.834
E02000302,Enfield 026,E09000010,Enfield,E12000007,London,8326,8276,50,52.7,3123,2.7,532201.092,193546.903
E02000303,Enfield 027,E09000010,Enfield,E12000007,London,8390,8372,18,67.5,3120,2.7,533684.244,193310.654
E02000304,Enfield 028,E09000010,Enfield,E12000007,London,8089,7997,92,47,2964,2.7,529978.564,193260.254
E02000305,Enfield 029,E09000010,Enfield,E12000007,London,8633,8473,160,89.8,3481,2.4,531134.495,193207.540
E02000306,Enfield 030,E09000010,Enfield,E12000007,London,9149,9149,0,43.8,3594,2.5,535237.505,192871.874
E02000307,Enfield 031,E09000010,Enfield,E12000007,London,9873,9873,0,89.3,3368,2.9,532799.229,192998.997
E02000308,Enfield 032,E09000010,Enfield,E12000007,London,7736,7661,75,67.4,2908,2.6,529282.703,192382.761
E02000309,Enfield 033,E09000010,Enfield,E12000007,London,10489,10412,77,64.4,3785,2.8,534979.274,192087.297
E02000311,Enfield 035,E09000010,Enfield,E12000007,London,9872,9861,11,69.7,3656,2.7,531933.262,192166.162
E02000312,Enfield 036,E09000010,Enfield,E12000007,London,10473,10404,69,79.9,4262,2.4,530580.736,192211.518
E02000313,Greenwich 001,E09000011,Greenwich,E12000007,London,6566,6563,3,89.9,2575,2.5,546863.727,180293.138
E02000314,Greenwich 002,E09000011,Greenwich,E12000007,London,13164,12265,899,41.3,4382,2.8,545740.480,180154.640
E02000315,Greenwich 003,E09000011,Greenwich,E12000007,London,9080,9039,41,76.1,3440,2.6,546779.295,179322.178
E02000316,Greenwich 004,E09000011,Greenwich,E12000007,London,10750,10698,52,57,4944,2.2,542623.149,179028.664
E02000317,Greenwich 005,E09000011,Greenwich,E12000007,London,8370,8293,77,128.2,3200,2.6,542504.637,178648.028
E02000318,Greenwich 006,E09000011,Greenwich,E12000007,London,9842,9842,0,89.1,3283,3,545590.985,178670.667
E02000319,Greenwich 007,E09000011,Greenwich,E12000007,London,10971,10825,146,118.5,3866,2.8,544771.530,178668.845
E02000320,Greenwich 008,E09000011,Greenwich,E12000007,London,6624,6603,21,45.4,2524,2.6,546898.851,178203.180
E02000321,Greenwich 009,E09000011,Greenwich,E12000007,London,7200,7147,53,115.7,2877,2.5,544343.382,178406.663
E02000323,Greenwich 011,E09000011,Greenwich,E12000007,London,10674,10631,43,140.2,4001,2.7,543855.508,178141.593
E02000324,Greenwich 012,E09000011,Greenwich,E12000007,London,7315,7181,134,56.1,2807,2.6,541761.978,177896.065
E02000326,Greenwich 014,E09000011,Greenwich,E12000007,London,7070,7063,7,96.8,2932,2.4,540859.500,177806.483
E02000327,Greenwich 015,E09000011,Greenwich,E12000007,London,6825,6436,389,36.7,2357,2.7,542957.233,177635.352
E02000328,Greenwich 016,E09000011,Greenwich,E12000007,London,6606,6512,94,75.4,3070,2.1,539930.590,177619.128
E02000329,Greenwich 017,E09000011,Greenwich,E12000007,London,6180,6169,11,35.1,2364,2.6,544789.419,176787.860
E02000331,Greenwich 019,E09000011,Greenwich,E12000007,London,7831,7805,26,78.9,3236,2.4,541721.518,177052.384
E02000332,Greenwich 020,E09000011,Greenwich,E12000007,London,7253,7239,14,35.9,2958,2.4,543739.368,176732.312
E02000333,Greenwich 021,E09000011,Greenwich,E12000007,London,6269,6152,117,49.7,3005,2,540310.243,176591.713
E02000334,Greenwich 022,E09000011,Greenwich,E12000007,London,6469,6463,6,46.7,2585,2.5,541730.656,176356.215
E02000335,Greenwich 023,E09000011,Greenwich,E12000007,London,6549,6549,0,50.6,2637,2.5,543456.195,175667.968
E02000337,Greenwich 025,E09000011,Greenwich,E12000007,London,7906,7906,0,56.5,2998,2.6,541978.473,175262.996
E02000339,Greenwich 027,E09000011,Greenwich,E12000007,London,5970,5963,7,47.5,2502,2.4,543119.930,174968.484
E02000340,Greenwich 028,E09000011,Greenwich,E12000007,London,6088,6086,2,18.6,2799,2.2,543596.852,174128.651
E02000341,Greenwich 029,E09000011,Greenwich,E12000007,London,7683,7683,0,42.9,3024,2.5,541520.805,173942.834
E02000342,Greenwich 030,E09000011,Greenwich,E12000007,London,6453,5379,1074,47.4,2268,2.4,544540.318,173717.757
E02000343,Greenwich 031,E09000011,Greenwich,E12000007,London,6675,6658,17,53.1,2699,2.5,542808.452,172615.810
E02000344,Greenwich 032,E09000011,Greenwich,E12000007,London,6387,6277,110,49.4,2476,2.5,543711.418,172433.139
E02000345,Hackney 001,E09000012,Hackney,E12000007,London,8838,8828,10,144.4,2693,3.3,533931.256,187874.317
E02000346,Hackney 002,E09000012,Hackney,E12000007,London,6092,6021,71,104.6,2563,2.3,532379.885,187512.803
E02000347,Hackney 003,E09000012,Hackney,E12000007,London,7956,7884,72,116,2727,2.9,533029.527,187456.193
E02000348,Hackney 004,E09000012,Hackney,E12000007,London,8120,8107,13,145.4,2804,2.9,534075.849,187456.708
E02000350,Hackney 006,E09000012,Hackney,E12000007,London,9502,9474,28,167.7,3605,2.6,534063.314,186770.691
E02000351,Hackney 007,E09000012,Hackney,E12000007,London,8523,8441,82,163.1,3826,2.2,531990.921,186778.579
E02000352,Hackney 008,E09000012,Hackney,E12000007,London,6883,6833,50,90.2,2810,2.4,532809.435,186602.114
E02000353,Hackney 009,E09000012,Hackney,E12000007,London,7786,7774,12,139.4,3192,2.4,533498.331,186459.746
E02000354,Hackney 010,E09000012,Hackney,E12000007,London,9502,9449,53,119.8,4056,2.3,534512.220,185979.975
E02000355,Hackney 011,E09000012,Hackney,E12000007,London,8485,8325,160,129.3,3240,2.6,535241.625,186015.401
E02000356,Hackney 012,E09000012,Hackney,E12000007,London,7346,7288,58,182.3,3144,2.3,532850.525,185838.767
E02000357,Hackney 013,E09000012,Hackney,E12000007,London,6339,6339,0,41.6,2507,2.5,536526.581,185998.382
E02000358,Hackney 014,E09000012,Hackney,E12000007,London,11058,11047,11,179.4,4775,2.3,533517.781,185684.825
E02000359,Hackney 015,E09000012,Hackney,E12000007,London,6581,6569,12,150.7,2416,2.7,535924.155,185526.400
E02000360,Hackney 016,E09000012,Hackney,E12000007,London,11292,11292,0,206.7,4747,2.4,534311.347,185328.693
E02000361,Hackney 017,E09000012,Hackney,E12000007,London,7640,7632,8,128.6,3467,2.2,534970.963,184979.690
E02000362,Hackney 018,E09000012,Hackney,E12000007,London,6363,6266,97,49.1,2634,2.4,536849.501,184994.441
E02000363,Hackney 019,E09000012,Hackney,E12000007,London,10845,10845,0,181.8,4402,2.5,535531.706,184909.825
E02000364,Hackney 020,E09000012,Hackney,E12000007,London,8867,8848,19,133.5,3899,2.3,534145.446,184616.071
E02000365,Hackney 021,E09000012,Hackney,E12000007,London,12764,12708,56,132.3,5740,2.2,533486.136,184478.594
E02000366,Hackney 022,E09000012,Hackney,E12000007,London,8514,8396,118,132.3,3690,2.3,535740.535,184230.240
E02000367,Hackney 023,E09000012,Hackney,E12000007,London,9741,9622,119,131.8,4163,2.3,534916.301,183984.770
E02000368,Hackney 024,E09000012,Hackney,E12000007,London,9614,9601,13,151.5,4028,2.4,534123.549,183643.634
E02000369,Hackney 025,E09000012,Hackney,E12000007,London,11594,11560,34,178.3,5100,2.3,533303.533,183647.637
E02000370,Hackney 026,E09000012,Hackney,E12000007,London,8301,8292,9,170.1,3768,2.2,532576.777,183227.221
E02000371,Hackney 027,E09000012,Hackney,E12000007,London,12369,11642,727,124,5672,2.1,533180.882,182696.590
E02000372,Hammersmith and Fulham 001,E09000013,Hammersmith and Fulham,E12000007,London,9175,8831,344,26.7,3674,2.4,522362.446,181818.587
E02000373,Hammersmith and Fulham 002,E09000013,Hammersmith and Fulham,E12000007,London,6658,6658,0,163.3,2433,2.7,522580.954,180719.771
E02000374,Hammersmith and Fulham 003,E09000013,Hammersmith and Fulham,E12000007,London,6731,6712,19,135.5,2590,2.6,522111.089,180474.178
E02000375,Hammersmith and Fulham 004,E09000013,Hammersmith and Fulham,E12000007,London,7028,6998,30,93.9,3230,2.2,523324.628,180258.097
E02000376,Hammersmith and Fulham 005,E09000013,Hammersmith and Fulham,E12000007,London,6915,6890,25,168.7,3152,2.2,522918.814,179823.922
E02000377,Hammersmith and Fulham 006,E09000013,Hammersmith and Fulham,E12000007,London,8169,7933,236,184.2,3613,2.2,522253.537,179767.220
E02000378,Hammersmith and Fulham 007,E09000013,Hammersmith and Fulham,E12000007,London,6534,6514,20,222.1,3271,2,523603.300,179581.117
E02000379,Hammersmith and Fulham 008,E09000013,Hammersmith and Fulham,E12000007,London,7581,7411,170,111.7,3190,2.3,521849.438,179373.849
E02000380,Hammersmith and Fulham 009,E09000013,Hammersmith and Fulham,E12000007,London,5863,5811,52,166.4,2559,2.3,522925.092,179203.183
E02000381,Hammersmith and Fulham 010,E09000013,Hammersmith and Fulham,E12000007,London,7768,7682,86,140.5,3583,2.1,523752.352,179115.810
E02000382,Hammersmith and Fulham 011,E09000013,Hammersmith and Fulham,E12000007,London,6167,6146,21,100,2823,2.2,522333.238,178710.130
E02000383,Hammersmith and Fulham 012,E09000013,Hammersmith and Fulham,E12000007,London,9432,9300,132,157.1,4456,2.1,524294.230,178685.561
E02000384,Hammersmith and Fulham 013,E09000013,Hammersmith and Fulham,E12000007,London,7320,7120,200,93.6,3256,2.2,523209.744,178531.339
E02000385,Hammersmith and Fulham 014,E09000013,Hammersmith and Fulham,E12000007,London,6162,6142,20,154.1,3094,2,524232.936,178108.517
E02000386,Hammersmith and Fulham 015,E09000013,Hammersmith and Fulham,E12000007,London,8136,8117,19,186,3585,2.3,524815.905,178017.130
E02000387,Hammersmith and Fulham 016,E09000013,Hammersmith and Fulham,E12000007,London,6272,6240,32,153.8,2841,2.2,523987.274,177749.781
E02000388,Hammersmith and Fulham 017,E09000013,Hammersmith and Fulham,E12000007,London,8202,8151,51,154.3,3805,2.1,525193.406,177561.051
E02000389,Hammersmith and Fulham 018,E09000013,Hammersmith and Fulham,E12000007,London,8255,8248,7,131.4,3452,2.4,523603.150,177312.600
E02000390,Hammersmith and Fulham 019,E09000013,Hammersmith and Fulham,E12000007,London,6448,6442,6,185.4,2823,2.3,524423.662,177267.396
E02000391,Hammersmith and Fulham 020,E09000013,Hammersmith and Fulham,E12000007,London,7729,7712,17,116.2,3419,2.3,525588.096,176898.900
E02000392,Hammersmith and Fulham 021,E09000013,Hammersmith and Fulham,E12000007,London,9578,9537,41,173.1,4122,2.3,524892.591,176795.298
E02000393,Hammersmith and Fulham 022,E09000013,Hammersmith and Fulham,E12000007,London,6031,6025,6,169.4,2650,2.3,524204.844,176839.418
E02000394,Hammersmith and Fulham 023,E09000013,Hammersmith and Fulham,E12000007,London,7755,7448,307,117.8,3551,2.1,526114.477,176454.712
E02000395,Hammersmith and Fulham 024,E09000013,Hammersmith and Fulham,E12000007,London,5951,5951,0,61.4,2719,2.2,524484.740,176104.691
E02000396,Hammersmith and Fulham 025,E09000013,Hammersmith and Fulham,E12000007,London,6633,6633,0,106.1,2699,2.5,525519.403,176001.083
E02000397,Haringey 001,E09000014,Haringey,E12000007,London,7815,7798,17,138.6,3376,2.3,530499.771,191315.087
E02000398,Haringey 002,E09000014,Haringey,E12000007,London,7123,6999,124,59.8,2713,2.6,534834.319,191281.992
E02000400,Haringey 004,E09000014,Haringey,E12000007,London,7668,7648,20,57.5,3061,2.5,529598.959,191244.420
E02000401,Haringey 005,E09000014,Haringey,E12000007,London,6734,6734,0,90.2,2351,2.9,532330.998,191204.770
E02000402,Haringey 006,E09000014,Haringey,E12000007,London,6697,6697,0,70.5,2469,2.7,533071.338,191122.674
E02000403,Haringey 007,E09000014,Haringey,E12000007,London,7199,7194,5,84.6,2915,2.5,531121.470,191059.029
E02000404,Haringey 008,E09000014,Haringey,E12000007,London,7315,7304,11,114.1,2640,2.8,531704.442,190877.689
E02000405,Haringey 009,E09000014,Haringey,E12000007,London,6548,6541,7,36.7,2550,2.6,529571.703,190367.261
E02000406,Haringey 010,E09000014,Haringey,E12000007,London,7025,7025,0,153.4,2665,2.6,531686.999,190310.381
E02000407,Haringey 011,E09000014,Haringey,E12000007,London,7312,7239,73,140.1,2905,2.5,533545.999,190231.180
E02000408,Haringey 012,E09000014,Haringey,E12000007,London,7612,7577,35,147,2689,2.8,534058.135,190250.187
E02000409,Haringey 013,E09000014,Haringey,E12000007,London,6527,6470,57,94,2505,2.6,532612.671,190100.619
E02000410,Haringey 014,E09000014,Haringey,E12000007,London,6693,6636,57,89,2839,2.3,528618.513,190089.622
E02000411,Haringey 015,E09000014,Haringey,E12000007,London,7452,7450,2,53.5,2695,2.8,534671.269,190038.342
E02000412,Haringey 016,E09000014,Haringey,E12000007,London,6914,6760,154,89.6,2873,2.4,531006.330,189967.163
E02000413,Haringey 017,E09000014,Haringey,E12000007,London,7500,7408,92,61.5,2945,2.5,527904.432,189960.635
E02000414,Haringey 018,E09000014,Haringey,E12000007,London,7171,7156,15,175.2,2562,2.8,533162.518,189764.857
E02000415,Haringey 019,E09000014,Haringey,E12000007,London,6845,6811,34,97.2,2697,2.5,532099.146,189671.888
E02000416,Haringey 020,E09000014,Haringey,E12000007,London,7490,7482,8,119.1,3463,2.2,530433.567,189350.767
E02000417,Haringey 021,E09000014,Haringey,E12000007,London,6676,6584,92,63,2852,2.3,528886.605,189166.167
E02000418,Haringey 022,E09000014,Haringey,E12000007,London,5509,5509,0,77.2,2235,2.5,529682.236,189151.441
E02000419,Haringey 023,E09000014,Haringey,E12000007,London,8108,8100,8,126.3,3323,2.4,531407.548,189134.779
E02000420,Haringey 024,E09000014,Haringey,E12000007,London,7432,7425,7,128.8,3050,2.4,533192.144,189162.666
E02000421,Haringey 025,E09000014,Haringey,E12000007,London,7148,6958,190,91.2,2875,2.4,533954.092,189116.250
E02000422,Haringey 026,E09000014,Haringey,E12000007,London,7825,7783,42,144.2,2926,2.7,532714.153,188827.270
E02000423,Haringey 027,E09000014,Haringey,E12000007,London,6813,6709,104,122.8,2516,2.7,532113.861,188693.889
E02000424,Haringey 028,E09000014,Haringey,E12000007,London,7198,7056,142,108.1,3088,2.3,530779.855,188605.158
E02000425,Haringey 029,E09000014,Haringey,E12000007,London,7256,7251,5,134.1,2116,3.4,533970.653,188449.176
E02000426,Haringey 030,E09000014,Haringey,E12000007,London,6731,6650,81,30.2,2882,2.3,527845.068,188262.852
E02000427,Haringey 031,E09000014,Haringey,E12000007,London,6854,6828,26,63.8,2829,2.4,531656.571,187882.847
E02000428,Haringey 032,E09000014,Haringey,E12000007,London,7022,7014,8,117.7,2758,2.5,532825.987,188208.076
E02000429,Haringey 033,E09000014,Haringey,E12000007,London,6852,6803,49,69.9,3207,2.1,529472.426,188228.173
E02000430,Haringey 034,E09000014,Haringey,E12000007,London,7417,7408,9,112.6,3462,2.1,530449.064,188124.906
E02000431,Haringey 035,E09000014,Haringey,E12000007,London,6685,6531,154,109.6,3133,2.1,528824.026,187669.789
E02000432,Haringey 036,E09000014,Haringey,E12000007,London,6454,6421,33,120.4,2879,2.2,531172.780,187645.254
E02000433,Harrow 001,E09000015,Harrow,E12000007,London,7686,7558,128,12.2,3309,2.3,516499.902,193256.340
E02000434,Harrow 002,E09000015,Harrow,E12000007,London,8588,8525,63,43.8,3138,2.7,518242.888,191764.065
E02000435,Harrow 003,E09000015,Harrow,E12000007,London,7426,7322,104,41.1,2728,2.7,516310.721,191677.591
E02000436,Harrow 004,E09000015,Harrow,E12000007,London,5782,5721,61,12.2,2080,2.8,513676.373,192126.350
E02000437,Harrow 005,E09000015,Harrow,E12000007,London,8377,8298,79,60,3082,2.7,515130.159,191124.702
E02000438,Harrow 006,E09000015,Harrow,E12000007,London,7910,7821,89,45.2,2990,2.6,513293.209,191016.700
E02000439,Harrow 007,E09000015,Harrow,E12000007,London,8206,8206,0,77.2,2711,3,519203.691,190907.644
E02000440,Harrow 008,E09000015,Harrow,E12000007,London,9569,9518,51,64,3087,3.1,517016.902,190918.292
E02000441,Harrow 009,E09000015,Harrow,E12000007,London,6714,6680,34,28.7,2765,2.4,511344.012,190881.775
E02000442,Harrow 010,E09000015,Harrow,E12000007,London,8706,8706,0,76.4,2532,3.4,518771.856,190375.962
E02000443,Harrow 011,E09000015,Harrow,E12000007,London,9470,9431,39,96.8,3203,2.9,515133.118,190274.283
E02000444,Harrow 012,E09000015,Harrow,E12000007,London,8499,8418,81,77.7,2682,3.1,517697.066,190148.205
E02000445,Harrow 013,E09000015,Harrow,E12000007,London,10250,10211,39,81.9,3616,2.8,515776.271,189819.162
E02000447,Harrow 015,E09000015,Harrow,E12000007,London,7058,7052,6,33.2,2453,2.9,513801.203,189944.857
E02000448,Harrow 016,E09000015,Harrow,E12000007,London,6641,6606,35,38.6,2730,2.4,512166.477,189626.954
E02000449,Harrow 017,E09000015,Harrow,E12000007,London,8137,8131,6,88.6,2531,3.2,518378.922,189344.916
E02000451,Harrow 019,E09000015,Harrow,E12000007,London,6550,6531,19,41,2341,2.8,513147.744,189164.608
E02000452,Harrow 020,E09000015,Harrow,E12000007,London,8218,8125,93,73.1,3039,2.7,515221.977,189008.562
E02000453,Harrow 021,E09000015,Harrow,E12000007,London,7620,7606,14,73.7,2800,2.7,514333.292,188653.295
E02000454,Harrow 022,E09000015,Harrow,E12000007,London,7082,7079,3,45.2,2550,2.8,512000.379,188351.224
E02000455,Harrow 023,E09000015,Harrow,E12000007,London,8135,8050,85,66.1,3306,2.4,515741.636,188206.180
E02000456,Harrow 024,E09000015,Harrow,E12000007,London,7059,7028,31,76.3,2512,2.8,514157.580,187993.575
E02000457,Harrow 025,E09000015,Harrow,E12000007,London,6314,6309,5,54.4,2200,2.9,513149.325,187732.934
E02000459,Harrow 027,E09000015,Harrow,E12000007,London,8235,8227,8,68.6,3159,2.6,514319.196,186813.241
E02000460,Harrow 028,E09000015,Harrow,E12000007,London,6518,6488,30,75.3,2189,3,513189.776,186636.314
E02000461,Harrow 029,E09000015,Harrow,E12000007,London,6947,6066,881,26.1,2556,2.4,515414.405,186767.202
E02000462,Harrow 030,E09000015,Harrow,E12000007,London,6632,6624,8,66.4,2210,3,513804.828,185898.613
E02000463,Harrow 031,E09000015,Harrow,E12000007,London,8429,8422,7,90.7,2788,3,512808.977,185803.060
E02000464,Havering 001,E09000016,Havering,E12000007,London,6451,6338,113,11,2597,2.4,553999.995,193423.476
E02000465,Havering 002,E09000016,Havering,E12000007,London,7930,7929,1,28.3,3256,2.4,555355.709,192213.466
E02000466,Havering 003,E09000016,Havering,E12000007,London,8287,8188,99,13.2,3235,2.5,551347.469,192721.650
E02000467,Havering 004,E09000016,Havering,E12000007,London,9643,9604,39,71,4087,2.3,553774.377,191769.152
E02000468,Havering 005,E09000016,Havering,E12000007,London,7782,7705,77,19,3099,2.5,549403.645,192432.965
E02000469,Havering 006,E09000016,Havering,E12000007,London,6443,6332,111,37.6,2664,2.4,552847.216,191207.777
E02000470,Havering 007,E09000016,Havering,E12000007,London,7887,7854,33,11.7,3487,2.3,555881.231,190490.478
E02000471,Havering 008,E09000016,Havering,E12000007,London,7457,7449,8,34.8,2961,2.5,551403.061,190702.074
E02000472,Havering 009,E09000016,Havering,E12000007,London,8989,8954,35,58.5,3544,2.5,550417.660,190325.856
E02000473,Havering 010,E09000016,Havering,E12000007,London,9588,9555,33,33.6,3841,2.5,554655.770,189503.722
E02000474,Havering 011,E09000016,Havering,E12000007,London,8343,8297,46,37.8,3514,2.4,549768.720,189631.644
E02000475,Havering 012,E09000016,Havering,E12000007,London,9196,9107,89,32.8,3933,2.3,552795.584,189688.504
E02000476,Havering 013,E09000016,Havering,E12000007,London,8414,8330,84,53.7,4023,2.1,551317.904,188960.466
E02000477,Havering 014,E09000016,Havering,E12000007,London,9360,9347,13,53.5,3725,2.5,552964.827,188355.989
E02000478,Havering 015,E09000016,Havering,E12000007,London,5885,5811,74,23.6,2156,2.7,554760.115,188259.727
E02000479,Havering 016,E09000016,Havering,E12000007,London,8134,8022,112,59.2,3529,2.3,551967.823,187998.294
E02000480,Havering 017,E09000016,Havering,E12000007,London,9795,9676,119,29,3872,2.5,550059.147,188021.425
E02000481,Havering 018,E09000016,Havering,E12000007,London,7793,7672,121,6.4,3254,2.4,559066.603,186853.533
